Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Cell cycle,0.8679435438743434,1.793117171793586,0.0,0.0,124,123,CCNB1;CCND1;PLK1;MCM4;CDC6;CDC20;MCM3;PCNA;MCM5;CCNA2;BUB1;CDC25A;ESPL1;ORC6;CDC45;SMC1A;MCM7;E2F1;MCM2;PKMYT1;BUB1B;ORC1;CCNB2;CDK1;E2F2;MAD2L1;PTTG1;PRKDC;MCM6;YWHAH;CDK2;TTK;TFDP1;YWHAB;ANAPC1;CDK6;SKP2;CHEK1;E2F4;RBL1;CDK4;YWHAQ;SFN;DBF4;WEE1;SMC3;CHEK2;ANAPC11;CDC25C;CDC27;CCNE2;BUB3;CUL1;CREBBP;YWHAZ;CCNE1;STAG1;MAD2L2;GADD45A;ORC5;HDAC1;ATR;ORC3;EP300;ANAPC13;ORC2;E2F3;YWHAG;RAD21;CCND3;FZR1;RBX1;TGFB1;CDC23;CDC7;ANAPC2;ANAPC7;TGFB2;CDKN2A;YWHAE;ANAPC5;CDKN1A;STAG2;ANAPC4;CDC25B;CCNH;HDAC2;SKP1;CDKN2C;MYC;MAD1L1;CDC14A;RB1;ZBTB17;CDC16;ORC4;MDM2;CDC26;ANAPC10;SMAD3;SMAD2;PTTG2;ABL1;GADD45B;CCNA1;GSK3B;TGFB3;SMC1B;CDK7;GADD45G;TP53;TFDP2;SMAD4;CDC14B;CCNB3;ATM;CDKN2D;CDKN1C;E2F5;CDKN2B;CCND2;CDKN1B;RBL2,CCNB1;CCND1;PLK1;MCM4;CDC6;CDC20;MCM3;PCNA;MCM5;CCNA2;BUB1;CDC25A;ESPL1;ORC6;CDC45;SMC1A;MCM7;E2F1;MCM2;PKMYT1;BUB1B;ORC1;CCNB2;CDK1;E2F2;MAD2L1;PTTG1;PRKDC;MCM6;YWHAH;CDK2;TTK;TFDP1;YWHAB;ANAPC1;CDK6;SKP2;CHEK1;E2F4;RBL1;CDK4;YWHAQ;SFN;DBF4;WEE1;SMC3;CHEK2;ANAPC11;CDC25C;CDC27;CCNE2;BUB3;CUL1;CREBBP;YWHAZ;CCNE1;STAG1;MAD2L2;GADD45A;ORC5;HDAC1;ATR;ORC3;EP300;ANAPC13;ORC2;E2F3;YWHAG;RAD21;CCND3;FZR1;RBX1
Neuroactive ligand-receptor interaction,-0.6935408350115738,-1.7576313904690728,0.0,0.0,338,220,CHRNB1;NMU;CHRNA5;GAL;ADORA2B;ADRB2;TSPO;P2RX5;P2RX2;LTB4R;CHRNA10;GALR2;HTR7;GRIN2C;GNRH2;PTGER4;S1PR3;GHRL;TBXA2R;CORT;F2;P2RY11;LTB4R2;EDN2;TAC4;GRPR;GLRA1;HTR1D;APLN;S1PR1;CHRNA3;GLRA2;P2RX1;GPR83;GABBR2;NPW;CALCR;HTR2B;ADORA1;GRM8;C5AR1;ADRA1B;GRM2;PRSS3;HTR2A;RXFP4;GHSR;HRH3;NTSR2;PPY;LPAR3;PTH2R;GABRG3;GRM7;RLN1;CHRNE;PYY;GPR156;PARD3;CRH;DRD2;CCKBR;P2RY14;FPR1;TRHR;GABRP;UTS2R;NMB;MC3R;ADRB3;CHRM3;PTH2;HCRTR1;SCT;GIP;LEP;GABRR3;FPR2;CHRM1;VIP;PTGDR;CALCA;OPRM1;FPR3;NMUR1;GRIN2B;TRH;KISS1;OPRD1;TSHR;SSTR2;CHRNB2;LPAR6;GALR3;EDN1;ADRB1;GABRA3;ADCYAP1R1;MTNR1A;LHCGR;TACR1;HRH2;CHRNA9;GPR35;P2RX3;GRM3;MC4R;GLRA3;NPFFR1;CHRM5;SSTR3;GABRD;GRIA1;TACR2;GRIA2;GABRR1;GRIN3A;GRIK1;S1PR4;CRHR2;TRPV1;TAC3;CNR2;AVPR2;ADRA1D;GCGR;SSTR1;GRM1;GABBR1;ADRA2A;PTAFR;P2RY1;C3AR1;CNR1;RLN2;NMBR;CHRNG;PLG;HRH4;LPAR2;OXTR;P2RX7;VIPR2;INSL3;CHRM2;F2RL2;CALCRL;EDNRA;TACR3;GABRR2;GRIK3;GNRH1;APLNR;LHB;AVPR1A;CHRNA7;F2RL1;GRIA3;GHRHR;F2RL3;GRIK5;S1PR5;GABRE;ADORA2A;MCHR1;MC1R;DRD4;HTR1F;PTGFR;SSTR5;CHRNA6;P2RY4;GLRB;P2RX6;GRIA4;PRLR;GNRHR;VIPR1;BDKRB1;ADRA2B;C5;AGT;P2RY2;GRID2;PTGIR;THRB;UCN2;CHRNB4;GRIN1;S1PR2;AVPR1B;GRM4;GHR;PTH1R;GRIK2;UCN;PTGER1;GRIK4;ADM;THRA;NR3C1;NPY1R;LPAR1;OPRL1;LEPR;HTR6;BDKRB2;ADRA2C;P2RY6;SCTR;P2RX4;NTSR1;CHRM4;F2R;HRH1;GIPR;GRIN2D;GRIN3B;C3;KISS1R,NR3C1;NPY1R;LPAR1;OPRL1;LEPR;HTR6;BDKRB2;ADRA2C;P2RY6;SCTR;P2RX4;NTSR1;CHRM4;F2R;HRH1;GIPR;GRIN2D;GRIN3B;C3;KISS1R
Nicotine addiction,-0.954442637128008,-1.8131164121085546,0.0,0.0,40,25,GRIN2C;CACNA1B;GABRG3;GABRP;GABRR3;GRIN2B;SLC32A1;CHRNB2;GABRA3;GABRD;GRIA1;GRIA2;CACNA1A;GABRR1;GRIN3A;GABRR2;CHRNA7;GRIA3;GABRE;CHRNA6;GRIA4;GRIN1;GRIN2D;SLC17A7;GRIN3B,GRIN2D;SLC17A7;GRIN3B
RNA transport,0.7901560961600141,1.717021915226963,0.0,0.0,165,155,ALYREF;TACC3;EIF4G1;RANGAP1;NUP188;RAN;NUP50;NUP107;NUP93;EIF3B;SUMO3;GEMIN4;POP1;NUP98;EIF3I;NUP155;EIF4G2;EIF4A3;PRMT5;NUP85;EIF2S1;UPF1;NUP205;STRAP;RAE1;KPNB1;POM121;GEMIN5;NDC1;ELAC2;NUP88;NUP153;PABPC4;POM121C;NUP35;NUP160;EIF3J;SEH1L;POP7;EIF5B;NUP62;CASC3;EIF3A;PNN;RNPS1;THOC3;EIF2B3;SEC13;NCBP1;NUP43;NUP58;NXT1;MAGOH;EIF3CL;EIF3C;NXF1;EIF2S2;NUP37;EIF2B1;POP4;TGS1;DDX20;NUP54;XPO1;NUP214;MAGOHB;RPP30;EIF2B2;XPO5;EIF5;ACIN1;NUP133;SAP18;EIF3G;EIF4EBP1;RANBP2;CYFIP1;PHAX;AAAS;EIF4E2;EIF2B5;NUP210;UBE2I;THOC5;EIF4EBP2;TPR;UPF2;EIF1AX;UPF3B;FXR2;POP5;NCBP2;GEMIN2;EIF4A1;SUMO1;RPP40;THOC7;XPOT;GEMIN6;PAIP1;THOC1;PYM1;SENP2;RPP25;EIF2B4;TRNT1;RBM8A;SRRM1;NMD3;UPF3A;THOC6;RPP38;FMR1;SNUPN;SNORD3B-2;RPP14;EIF3D;SNORD3A;CLNS1A;EIF4E;NXT2;SUMO2;SMN1;GEMIN7;PABPC1;PABPC3;SNORD3C;THOC2;SNORD3B-1;SUMO4;NUP210L;DDX39B;SMN2;ELAC1;POM121L2;NXF3;FXR1;EIF4EBP3;RPP25L;PABPC5;EEF1A1;EIF1B;GEMIN8;EIF2S3;EIF3F;EIF3H;CYFIP2;PABPC4L;EIF3E;PABPC1L;EIF4B;EIF4A2;EIF4G3;EIF1;EEF1A2,ALYREF;TACC3;EIF4G1;RANGAP1;NUP188;RAN;NUP50;NUP107;NUP93;EIF3B;SUMO3;GEMIN4;POP1;NUP98;EIF3I;NUP155;EIF4G2;EIF4A3;PRMT5;NUP85;EIF2S1;UPF1;NUP205;STRAP;RAE1;KPNB1;POM121;GEMIN5;NDC1;ELAC2;NUP88;NUP153;PABPC4;POM121C;NUP35;NUP160;EIF3J;SEH1L;POP7;EIF5B;NUP62;CASC3;EIF3A;PNN;RNPS1;THOC3;EIF2B3;SEC13;NCBP1;NUP43;NUP58;NXT1;MAGOH;EIF3CL;EIF3C;NXF1;EIF2S2;NUP37;EIF2B1;POP4;TGS1;DDX20;NUP54;XPO1;NUP214;MAGOHB;RPP30;EIF2B2;XPO5;EIF5;ACIN1;NUP133;SAP18;EIF3G;EIF4EBP1;RANBP2;CYFIP1;PHAX;AAAS;EIF4E2;EIF2B5;NUP210;UBE2I
Ribosome biogenesis in eukaryotes,0.8757524818714529,1.7740111020049467,0.0,0.0,101,81,NOP56;DKC1;NOL6;GNL3L;TCOF1;RAN;GNL3;NOP58;POP1;GTPBP4;NAT10;WDR43;SNU13;IMP4;DROSHA;RRP7A;EMG1;HEATR1;WDR3;MDN1;FBL;REXO1;UTP4;UTP15;NHP2;BMS1;POP7;RBM28;EIF6;UTP18;GNL2;GAR1;RIOK1;LSG1;SBDS;NOP10;UTP6;NXT1;NXF1;UTP14A;WDR36;POP4;XPO1;RIOK2;TBL3;RPP30;FCF1;MPHOSPH10;PWP2;NVL;REXO2;RCL1;WDR75;XRN2;SPATA5;IMP3;POP5;RPP40;RPP25;NMD3;CSNK2A3;RPP38;SNORD3B-2;CSNK2A1;SNORD3A;NXT2;SNORD3C;EFL1;REXO5;NOB1;AK6;SNORD3B-1;RNA5S5;RNA5S6;CSNK2B;RNA5S17;RNA5S11;NXF3;RPP25L;CSNK2A2;XRN1,NOP56;DKC1;NOL6;GNL3L;TCOF1;RAN;GNL3;NOP58;POP1;GTPBP4;NAT10;WDR43;SNU13;IMP4;DROSHA;RRP7A;EMG1;HEATR1;WDR3;MDN1;FBL;REXO1;UTP4;UTP15;NHP2;BMS1;POP7;RBM28;EIF6;UTP18;GNL2;GAR1;RIOK1;LSG1;SBDS;NOP10;UTP6;NXT1;NXF1;UTP14A;WDR36;POP4;XPO1;RIOK2;TBL3;RPP30;FCF1;MPHOSPH10;PWP2;NVL;REXO2;RCL1
Spliceosome,0.8532771815355069,1.7926137731938723,0.0,0.0,134,132,ALYREF;HNRNPM;SNRPB;HSPA8;SF3B3;PRPF4;TRA2B;PRPF19;HNRNPU;EFTUD2;SF3B4;SRSF3;WBP11;U2AF2;SF3A3;HNRNPC;DDX23;SNRPD1;EIF4A3;SNRPC;SNU13;DDX46;DHX38;CHERP;LSM3;SRSF2;SF3B2;SNRNP40;SNRNP200;SF3A1;HNRNPK;PPIH;LSM4;SRSF7;CTNNBL1;TXNL4A;SNRPA;SRSF1;PHF5A;SNRPG;DHX15;USP39;THOC3;PRPF3;BUD31;TCERG1;PPIL1;RBM22;HNRNPA1;BCAS2;SNRPF;NCBP1;HNRNPA3;SART1;LSM5;RBM17;SNRPB2;MAGOH;PCBP1;SRSF4;SRSF10;LSM7;CDC5L;SRSF9;MAGOHB;SF3A2;SNRPD3;TRA2A;PRPF38A;PLRG1;AQR;PRPF8;SNRPD2;XAB2;PRPF6;PUF60;ACIN1;CCDC12;U2AF1;SNW1;SF3B5;PQBP1;RBMX;SMNDC1;CRNKL1;PRPF38B;U2SURP;SNRPE;NCBP2;RBMXL1;LSM6;SNRNP70;HNRNPA1L2;SNRPA1;THOC1;SF3B6;ZMAT2;DHX8;U2AF1L5;RBM8A;PRPF40A;SRSF8;PRPF18;PRPF31;RBM25;DDX5;DDX42;HSPA6;CDC40;HSPA1A;SF3B1;RP9;SNRNP27;CWC15;ISY1;PPIE;HSPA1B;SRSF6;THOC2;RBMXL2;HSPA2;U2AF1L4;DHX16;DDX39B;LSM2;HSPA1L;SLU7;RBMXL3;LSM8;SYF2;SRSF5;PRPF40B,ALYREF;HNRNPM;SNRPB;HSPA8;SF3B3;PRPF4;TRA2B;PRPF19;HNRNPU;EFTUD2;SF3B4;SRSF3;WBP11;U2AF2;SF3A3;HNRNPC;DDX23;SNRPD1;EIF4A3;SNRPC;SNU13;DDX46;DHX38;CHERP;LSM3;SRSF2;SF3B2;SNRNP40;SNRNP200;SF3A1;HNRNPK;PPIH;LSM4;SRSF7;CTNNBL1;TXNL4A;SNRPA;SRSF1;PHF5A;SNRPG;DHX15;USP39;THOC3;PRPF3;BUD31;TCERG1;PPIL1;RBM22;HNRNPA1;BCAS2;SNRPF;NCBP1;HNRNPA3;SART1;LSM5;RBM17;SNRPB2;MAGOH;PCBP1;SRSF4;SRSF10;LSM7;CDC5L;SRSF9;MAGOHB;SF3A2;SNRPD3;TRA2A;PRPF38A;PLRG1;AQR;PRPF8;SNRPD2;XAB2;PRPF6;PUF60;ACIN1;CCDC12;U2AF1;SNW1;SF3B5;PQBP1;RBMX;SMNDC1;CRNKL1;PRPF38B
DNA replication,0.9173031108431313,1.6570414651907568,0.0,0.001686154463792844,36,36,MCM4;FEN1;MCM3;PCNA;MCM5;MCM7;MCM2;POLE3;RFC2;RFC3;POLE;MCM6;POLD1;DNA2;RPA1;LIG1;RFC5;RFC4;POLA1;POLE2;RPA2;POLE4;POLD2;PRIM2;POLD3;PRIM1;POLA2;RPA3;SSBP1;RNASEH2C;RNASEH1;RFC1;RNASEH2B;RNASEH2A;RPA4;POLD4,MCM4;FEN1;MCM3;PCNA;MCM5;MCM7;MCM2;POLE3;RFC2;RFC3;POLE;MCM6;POLD1;DNA2;RPA1;LIG1;RFC5;RFC4;POLA1;POLE2;RPA2;POLE4;POLD2;PRIM2;POLD3;PRIM1
Proteasome,0.8887615510073495,1.6042683838217155,0.0,0.005269232699352638,45,43,PSMD2;PSME3;PSMC3;PSMB2;PSMD3;PSMC5;PSMC4;PSMD11;PSMA7;PSMD1;PSMD12;PSMA5;PSMD14;POMP;PSMA3;PSMA4;PSMD8;PSMC2;ADRM1;PSMD13;PSMB6;PSMB7;PSMD6;PSMB5;PSMB1;PSMD4;SEM1;PSME4;PSMB4;PSMA1;PSME2;PSMC6;PSMF1;PSMA6;PSMD7;PSMB3;PSMB10;PSMC1;PSMB11;PSMA2;PSMB8;PSMB9;PSME1,PSMD2;PSME3;PSMC3;PSMB2;PSMD3;PSMC5;PSMC4;PSMD11;PSMA7;PSMD1;PSMD12;PSMA5;PSMD14;POMP;PSMA3;PSMA4;PSMD8;PSMC2;ADRM1;PSMD13;PSMB6;PSMB7;PSMD6;PSMB5;PSMB1;PSMD4;SEM1;PSME4;PSMB4;PSMA1;PSME2
Oocyte meiosis,0.7631147701075411,1.6101314240014377,0.0,0.00562051487930948,125,113,CCNB1;PLK1;AURKA;CDC20;BUB1;ESPL1;SMC1A;PKMYT1;CCNB2;CDK1;MAD2L1;PTTG1;YWHAH;CDK2;PPP2R1B;YWHAB;ANAPC1;PPP1CA;FBXO5;SGO1;CALM3;YWHAQ;PPP2CA;PPP2R5D;CALM2;PPP1CC;SMC3;ANAPC11;CDC25C;CDC27;CCNE2;CUL1;CALM1;ADCY3;YWHAZ;CCNE1;MAD2L2;PPP2R1A;MAP2K1;ANAPC13;YWHAG;PPP2R5A;RBX1;RPS6KA1;MAPK1;CDC23;PPP3R1;PPP2CB;ANAPC2;ANAPC7;FBXO43;YWHAE;PPP2R5E;ANAPC5;PRKACA;ANAPC4;PPP3CB;SKP1;FBXW11;SLK;MAD1L1;RPS6KA3;CDC16;SPDYE2;CDC26;ANAPC10;SPDYE6;CALML4;ITPR2;CPEB4;REC8;CPEB3;SPDYE16;PTTG2;SPDYE2B;PGR;BTRC;SPDYE17;SPDYA;ADCY2;SPDYE5;SPDYC;CAMK2A;SPDYE3;PRKACB;PPP2R5C;SMC1B;PPP3CC;SPDYE18;CALML6;SPDYE1;PPP3CA;ADCY1;ADCY4;CAMK2G;RPS6KA2;MAPK12;ADCY9;ADCY6;PPP1CB;CAMK2B;RPS6KA6;ITPR1;ADCY7;MAPK3;AR;STAG3;PPP2R5B;IGF1R;CAMK2D;ITPR3;ADCY5;CPEB2,CCNB1;PLK1;AURKA;CDC20;BUB1;ESPL1;SMC1A;PKMYT1;CCNB2;CDK1;MAD2L1;PTTG1;YWHAH;CDK2;PPP2R1B;YWHAB;ANAPC1;PPP1CA;FBXO5;SGO1;CALM3;YWHAQ;PPP2CA;PPP2R5D;CALM2;PPP1CC;SMC3;ANAPC11;CDC25C;CDC27;CCNE2;CUL1;CALM1;ADCY3;YWHAZ;CCNE1;MAD2L2;PPP2R1A;MAP2K1;ANAPC13;YWHAG;PPP2R5A
Epstein-Barr virus infection,0.7467068766442806,1.6045392044177038,0.0,0.006021980227831586,201,165,CCND1;MAP2K3;CCNA2;PSMD2;E2F1;PSMC3;E2F2;MAP3K14;PSMD3;OAS3;CDK2;PSMC5;IRAK1;CYCS;PSMC4;PSMD11;NFKB1;PSMD1;PSMD12;PSMD14;CDK6;SKP2;PSMD8;PSMC2;AKT1;ADRM1;CDK4;PSMD13;USP7;JAK1;PSMD6;NFKBIB;BAX;IL6;CASP3;IRF3;CCNE2;PSMD4;SEM1;CCNE1;CALR;GADD45A;TRAF2;MYD88;HDAC1;RELB;E2F3;TRAF3;NEDD4;CCND3;RAC1;APAF1;PSMC6;IKBKG;TYK2;SNW1;SIN3A;BID;CHUK;TBK1;RELA;EIF2AK2;PIK3CB;NCOR2;BAK1;RIPK1;PDIA3;NFKB2;AKT2;PSMD7;IKBKE;PIK3CD;MAP2K7;CDKN1A;FADD;HDAC2;MAPK14;DDB2;BCL2;MAPK9;MYC;TNFAIP3;MAP2K4;PIK3R3;MAPK8;RB1;TAP2;MDM2;SAP30;PSMC1;IFNAR1;LYN;DDX58;BTK;STAT3;CD19;ICAM1;NFKBIE;TAB1;AKT3;HLA-C;RUNX3;CD3D;GADD45B;CCNA1;CD44;IKBKB;HLA-B;SYK;CD40;TAP1;TAPBP;POLK;CD247;BLNK;RBPJL;HLA-E;FCER2;HLA-A;ITGAL;PIK3R2;GADD45G;NFKBIA;PIK3CA;TAB2;B2M;IRF7;MAVS;MAP3K7;CD58;IRF9;CASP9;TP53;STAT1;IFNAR2;MAPK13;OAS2;ENTPD3;MAPK12;TRAF6;MAPK10;OAS1;FAS;JUN;CIR1;PLCG2;ENTPD1;IRAK4;ISG15;MAP2K6;PIK3R1;RBPJ;CASP8;MAPK11;VIM;STAT2;TRADD;ENTPD8;BCL2L11;CCND2;HES1;TLR2;TRAF5;CDKN1B;JAK3,CCND1;MAP2K3;CCNA2;PSMD2;E2F1;PSMC3;E2F2;MAP3K14;PSMD3;OAS3;CDK2;PSMC5;IRAK1;CYCS;PSMC4;PSMD11;NFKB1;PSMD1;PSMD12;PSMD14;CDK6;SKP2;PSMD8;PSMC2;AKT1;ADRM1;CDK4;PSMD13;USP7;JAK1;PSMD6;NFKBIB;BAX;IL6;CASP3;IRF3;CCNE2;PSMD4;SEM1;CCNE1;CALR;GADD45A;TRAF2;MYD88;HDAC1;RELB;E2F3;TRAF3;NEDD4;CCND3;RAC1;APAF1;PSMC6;IKBKG;TYK2;SNW1
Cellular senescence,0.7330292895904962,1.587445503108424,0.0,0.006744617855171376,160,150,CCNB1;CCND1;FOXM1;MYBL2;MAP2K3;CCNA2;CDC25A;E2F1;CCNB2;ETS1;CDK1;E2F2;CDK2;SLC25A5;NFKB1;CDK6;CHEK1;PPP1CA;CAPN2;E2F4;RBL1;AKT1;PPID;CALM3;CDK4;CALM2;PPP1CC;CHEK2;VDAC3;IL6;RAD1;NRAS;CCNE2;RAF1;RRAS2;CALM1;ZFP36L2;CCNE1;LIN9;GADD45A;MTOR;VDAC1;SIRT1;MRE11;ATR;MAP2K1;E2F3;RBBP4;CCND3;RHEB;TGFB1;EIF4EBP1;MAPK1;PPP3R1;NBN;HUS1;LIN54;RELA;TGFB2;CDKN2A;NFATC3;PIK3CB;CAPN1;AKT2;PIK3CD;CDKN1A;CXCL8;ZFP36L1;MAPKAPK2;MCU;PPP3CB;RAD9A;RAD50;FBXW11;MAPK14;SLC25A4;VDAC2;LIN52;MYC;HRAS;PIK3R3;HIPK1;RB1;MDM2;TSC2;CALML4;SMAD3;ITPR2;SMAD2;IL1A;TRPM7;KRAS;LIN37;SQSTM1;HIPK2;HIPK4;AKT3;HLA-C;BTRC;GADD45B;CCNA1;HLA-B;SLC25A6;TGFB3;HLA-E;HLA-A;TRPV4;PIK3R2;PPP3CC;SLC25A31;GADD45G;PIK3CA;TRAF3IP2;RAD9B;CALML6;GATA4;PPP3CA;TP53;MAPK13;PTEN;RASSF5;CACNA1D;MAPK12;TSC1;CCNB3;HIPK3;ATM;FOXO1;PPP1CB;MAP2K6;MAP2K2;PIK3R1;E2F5;NFATC2;CDKN2B;NFATC1;ITPR1;MAPK11;RRAS;MAPK3;TGFBR2;IGFBP3;FOXO3;TGFBR1;CCND2;SERPINE1;RBL2;MRAS;ITPR3;NFATC4,CCNB1;CCND1;FOXM1;MYBL2;MAP2K3;CCNA2;CDC25A;E2F1;CCNB2;ETS1;CDK1;E2F2;CDK2;SLC25A5;NFKB1;CDK6;CHEK1;PPP1CA;CAPN2;E2F4;RBL1;AKT1;PPID;CALM3;CDK4;CALM2;PPP1CC;CHEK2;VDAC3;IL6;RAD1;NRAS;CCNE2;RAF1;RRAS2;CALM1;ZFP36L2;CCNE1;LIN9;GADD45A;MTOR;VDAC1;SIRT1;MRE11;ATR;MAP2K1;E2F3;RBBP4;CCND3;RHEB;TGFB1
mRNA surveillance pathway,0.7632924093173495,1.579043626240466,0.0,0.006897904624607088,91,85,ALYREF;CSTF2;SMG5;ETF1;EIF4A3;PPP2R1B;UPF1;DAZAP1;PPP1CA;SSU72;PABPC4;PPP2CA;PPP2R5D;PPP1CC;CASC3;PNN;RNPS1;CPSF7;NCBP1;CLP1;NXT1;MAGOH;NXF1;PAPOLA;GSPT1;SMG7;PPP2R3C;SYMPK;PPP2R1A;MAGOHB;PPP2R5A;CPSF3;NUDT21;WDR33;ACIN1;WDR82;SAP18;CPSF2;CPSF4;PPP2CB;CSTF1;PELO;CPSF1;PPP2R2D;CPSF6;UPF2;RNGTT;SMG1;UPF3B;HBS1L;NCBP2;PPP2R2A;PPP2R5E;PYM1;FIP1L1;RBM8A;CSTF3;SRRM1;UPF3A;NXT2;PABPC1;PABPC3;PABPN1;SMG6;CSTF2T;PABPN1L;DDX39B;BCL2L2-PABPN1;PAPOLB;PPP2R3B;PPP2R5C;NXF3;GSPT2;PCF11;PABPC5;PAPOLG;MSI1;RNMT;PPP1CB;PABPC4L;MSI2;PABPC1L;PPP2R5B;PPP2R3A;PPP2R2C,ALYREF;CSTF2;SMG5;ETF1;EIF4A3;PPP2R1B;UPF1;DAZAP1;PPP1CA;SSU72;PABPC4;PPP2CA;PPP2R5D;PPP1CC;CASC3;PNN;RNPS1;CPSF7;NCBP1;CLP1;NXT1;MAGOH;NXF1;PAPOLA;GSPT1;SMG7;PPP2R3C;SYMPK;PPP2R1A;MAGOHB;PPP2R5A;CPSF3;NUDT21;WDR33;ACIN1;WDR82;SAP18;CPSF2;CPSF4;PPP2CB;CSTF1;PELO;CPSF1;PPP2R2D;CPSF6;UPF2;RNGTT;SMG1;UPF3B;HBS1L;NCBP2;PPP2R2A
Human T-cell leukemia virus 1 infection,0.7103550203283869,1.5983323926489095,0.0,0.007494019839079307,219,195,CCND1;CDC20;CCNA2;FOSL1;RANBP1;ESPL1;E2F1;BUB1B;RAN;CCNB2;ETS1;E2F2;MAD2L1;PTTG1;MAP3K14;CDK2;SLC25A5;SRF;NFKB1;BCL2L1;ANAPC1;CHEK1;TLN1;TERT;AKT1;CDK4;TRRAP;FDPS;JAK1;ELK1;CHEK2;BAX;VDAC3;ANAPC11;IL6;TCF3;RANBP3;NRAS;CDC27;CCNE2;BUB3;CREBBP;ADCY3;CCNE1;CALR;VDAC1;CSF2;XPO1;RELB;ATR;EP300;MAP2K1;E2F3;VAC14;ETS2;CCND3;CRTC2;TGFB1;MAPK1;IKBKG;CDC23;PPP3R1;MSX1;ANAPC2;CHUK;ANAPC7;RELA;TGFB2;CDKN2A;NFATC3;CREB3;PIK3CB;GPS2;TSPO;ANAPC5;NFKB2;AKT2;PRKACA;PIK3CD;CDKN1A;ANAPC4;MAP3K3;CREB3L2;PPP3CB;TBP;CDKN2C;SLC25A4;VDAC2;MAPK9;KAT5;POLB;MYC;HRAS;CANX;MAP2K4;PIK3R3;MAD1L1;ITGB2;MAPK8;RB1;CDC16;CRTC3;TBPL1;STAT5B;KAT2A;CDC26;ANAPC10;CREB1;NFYB;SMAD3;SMAD2;IL1R2;KRAS;PTTG2;XIAP;ICAM1;AKT3;ATF6B;HLA-C;CD3D;CCNA1;IKBKB;HLA-B;SLC25A6;CD40;TGFB3;ADCY2;IL2;IL2RA;MSX2;HLA-E;PRKACB;HLA-A;ITGAL;PIK3R2;PPP3CC;SLC25A31;IL2RB;NFKBIA;PIK3CA;STAT5A;IL2RG;B2M;ATF4;CREB5;TBPL2;PPP3CA;ADCY1;ATF2;ADCY4;EGR1;MMP7;TP53;ELK4;CREB3L3;SMAD4;PTEN;SPI1;CREB3L4;ADCY9;IL15RA;KAT2B;MAPK10;CD4;CREB3L1;JUN;ZFP36;ATM;LTBR;NRP1;TNFRSF1A;ADCY6;IL1R1;EGR2;SLC2A1;MAP2K2;PIK3R1;NFATC2;FOS;CDKN2B;TNFRSF13C;NFATC1;ADCY7;MAPK3;CRTC1;TGFBR2;TLN2;IL15;TGFBR1;CCND2;MAP3K1;JAK3;DLG1;ADCY5;NFATC4,CCND1;CDC20;CCNA2;FOSL1;RANBP1;ESPL1;E2F1;BUB1B;RAN;CCNB2;ETS1;E2F2;MAD2L1;PTTG1;MAP3K14;CDK2;SLC25A5;SRF;NFKB1;BCL2L1;ANAPC1;CHEK1;TLN1;TERT;AKT1;CDK4;TRRAP;FDPS;JAK1;ELK1;CHEK2;BAX;VDAC3;ANAPC11;IL6;TCF3;RANBP3;NRAS;CDC27;CCNE2;BUB3;CREBBP;ADCY3;CCNE1;CALR;VDAC1;CSF2;XPO1;RELB;ATR;EP300;MAP2K1;E2F3;VAC14;ETS2;CCND3;CRTC2;TGFB1;MAPK1;IKBKG;CDC23
ABC transporters,-0.7971970689717737,-1.703615543065278,0.0,0.008989932761246702,45,40,ABCD3;ABCB8;ABCB10;ABCC10;TAP2;ABCC2;ABCB7;ABCB1;ABCC1;ABCC8;ABCG8;ABCC12;ABCA4;ABCB9;TAP1;ABCA13;ABCB6;CFTR;ABCC6;ABCG5;ABCB4;ABCD2;ABCG2;ABCA9;ABCC5;ABCA6;ABCC11;ABCC4;ABCD4;ABCG1;ABCA10;ABCA1;ABCG4;ABCA5;ABCD1;ABCA3;ABCA7;ABCA12;ABCA2;ABCC3,ABCA1;ABCG4;ABCA5;ABCD1;ABCA3;ABCA7;ABCA12;ABCA2;ABCC3
